Vin	Vout	Wout	Tiempo
0	0	0	0
0	0	0	0.1
0	0	0	0.2
0	0	0	0.3
0	0	0	0.4
0	0	0	0.5
0	0	0	0.6
0	0	0	0.7
0	0	0	0.8
0	0	0	0.9
2	0	0	1
2	0	0	1.1
2	0	0	1.2
2	0	0	1.3
2	0	0	1.4
2	0	0	1.5
2	0	0	1.6
2	0	0	1.7
2	0	0	1.8
2	0	0	1.9
2	0	0	2
2	0	0	2.1
2	0	0	2.2
2	0	0	2.3
2	0	0	2.4
2	0.1	2.33	2.5
2	0.25	5.82	2.6
2	0.27	6.29	2.7
2	0.41	9.55	2.8
2	0.5	11.64	2.9
2	0.53	12.34	3
2	0.65	15.13	3.1
2	0.73	17	3.2
2	0.84	19.56	3.3
2	0.9	20.95	3.4
2	0.99	23.05	3.5
2	1.02	23.75	3.6
2	1.16	27.01	3.7
2	1.17	27.24	3.8
2	1.26	29.34	3.9
2	1.35	31.43	4
2	1.39	32.36	4.1
2	1.44	33.53	4.2
2	1.5	34.92	4.3
2	1.52	35.39	4.4
2	1.53	35.62	4.5
2	1.6	37.25	4.6
2	1.66	38.65	4.7
2	1.72	40.05	4.8
2	1.68	39.11	4.9
2	1.74	40.51	5
2	1.79	41.68	5.1
2	1.76	40.98	5.2
2	1.77	41.21	5.3
2	1.84	42.84	5.4
2	1.86	43.31	5.5
2	1.89	44	5.6
2	1.88	43.77	5.7
2	2.11	49.13	5.8
2	1.93	44.94	5.9
2	1.91	44.47	6
2	1.93	44.94	6.1
2	1.94	45.17	6.2
2	1.98	46.1	6.3
2	1.95	45.4	6.4
2	1.96	45.63	6.5
2	2	46.57	6.6
2	1.95	45.4	6.7
2	2	46.57	6.8
2	1.98	46.1	6.9
2	1.95	45.4	7
2	1.93	44.94	7.1
2	1.96	45.63	7.2
2	1.94	45.17	7.3
2	1.96	45.63	7.4
2	2.09	48.66	7.5
2	1.96	45.63	7.6
2	1.96	45.63	7.7
2	2.01	46.8	7.8
2	1.96	45.63	7.9
2	2	46.57	8
2	1.93	44.94	8.1
2	1.96	45.63	8.2
2	2.07	48.2	8.3
2	2.07	48.2	8.4
2	1.98	46.1	8.5
2	2	46.57	8.6
2	1.98	46.1	8.7
2	2.01	46.8	8.8
2	1.98	46.1	8.9
2	1.96	45.63	9
2	1.98	46.1	9.1
2	2.09	48.66	9.2
2	1.95	45.4	9.3
2	1.95	45.4	9.4
2	2.07	48.2	9.5
2	1.95	45.4	9.6
2	1.96	45.63	9.7
2	1.93	44.94	9.8
2	1.88	43.77	9.9
2	1.95	45.4	10
